Tcell_exclusion_up	Tcell_exclusion_down
SRP14	TMBIM6
SSB	TMED9
TIMM13	TMEM255A
TIMM44	TMEM66
TMC6	TMX4
TP53	TNC
TPI1	TNFSF4
TPRKB	TRIM22
TRAP1	TRIML2
TRIM28	TSPYL2
TRPM1	TTLL1
TSR1	TXNIP
TUBA1B	UCN2
TULP4	UPP1
TXNDC17	WDFY1
TYMS	ZBTB20
UBL5	ZBTB38
UCK2	
UHRF1	
USMG5	
USP22	
VCY1B	
VPS72	
XIST	
YWHAE	
ZFAS1	
ZNF286A	
